STATE,FIPS,2020/7/5,2020/7/12,2020/7/19,2020/7/26,2020/8/2,2020/8/9,2020/8/16,2020/8/23,2020/8/30,2020/9/6,2020/9/13,2020/9/20,2020/9/27,2020/10/4,2020/10/11,2020/10/18,2020/10/25,2020/11/1,2020/11/8,2020/11/15,2020/11/22,2020/11/29,2020/12/6,2020/12/13,2020/12/20,2020/12/27,2021/1/3,2021/1/10,2021/1/17,2021/1/24,2021/1/31,2021/2/7,2021/2/14,2021/2/21,2021/2/28,2021/3/7,2021/3/14,2021/3/21,2021/3/28,2021/4/4,2021/4/11,2021/4/18,2021/4/25,2021/5/2,2021/5/9,2021/5/16,2021/5/23,2021/5/30,2021/6/6,2021/6/13,2021/6/20,2021/6/27,2021/7/4,2021/7/11,2021/7/18,2021/7/25,2021/8/1,2021/8/8,2021/8/15,2021/8/22,2021/8/29,2021/9/5,2021/9/12,2021/9/19,2021/9/26,2021/10/3,2021/10/10,2021/10/17,2021/10/24,2021/10/31,2021/11/7,2021/11/14,2021/11/21,2021/11/28,2021/12/5,2021/12/12,2021/12/19,2021/12/26,2022/1/2,2022/1/9,2022/1/16,2022/1/23,2022/1/30,2022/2/6,2022/2/13,2022/2/20,2022/2/27,2022/3/6,2022/3/13,2022/3/20,2022/3/27
ND,38,519,681,854,778,938,988,1277,1822,1919,1950,2321,2696,2805,3690,4629,5975,7400,9229,9444,8980,6115,4555,3104,2095,1360,1552,1575,1331,949,806,681,661,678,529,583,596,668,943,1056,1104,1006,950,1002,771,619,490,333,264,231,135,103,74,124,154,229,439,663,980,1464,2031,2718,2987,3238,3677,4300,4149,3531,3323,3596,3427,3320,3396,2769,3415,2441,2261,2024,3326,7766,11350,12223,11944,7009,4042,2043,1120,716,478,283,221,209
OH,39,8036,9617,9369,8908,7889,7709,6523,7168,8479,6797,6998,6470,7963,9496,12776,15583,19891,30030,44516,53043,63417,60729,86029,60972,50240,50005,56304,50530,38335,32942,25299,19544,14797,13861,11592,10568,10528,11787,13412,13591,14501,11339,10588,8801,7465,6345,4950,2872,2428,1950,1823,1757,1761,2777,4810,7672,11641,16867,21010,29140,39705,46525,48615,42972,40551,35632,32228,25144,23608,24923,33026,38210,34426,52173,50770,63062,66131,98739,126222,125079,119574,74586,37034,22806,13085,8718,6510,4422,2512,3668,3103
OK,40,4140,5288,5032,7654,5396,4746,4830,4686,5923,5493,7133,7185,7267,7878,7905,9034,7097,8968,18453,20681,22830,19441,19915,22371,20572,19390,29016,26714,18511,16433,15293,10523,6055,5505,4753,3470,799,2663,2409,2170,3733,1875,1650,1598,1446,969,1008,902,705,997,1103,1505,1716,2680,4842,8062,11340,14055,15497,14730,19569,18564,15849,13440,11658,9298,8652,7805,5632,4387,5344,5874,4724,4765,8707,6933,6973,8082,18631,37318,45645,46323,51653,20866,11345,6402,6064,5038,2955,1839,1849
OR,41,1931,2300,2348,2326,2199,2010,1696,1602,1566,1302,1451,1992,1934,2415,2396,2428,3185,4667,6431,7650,8838,10737,9604,8975,6514,8041,8128,7948,5190,4817,4328,3294,2678,2614,1765,2323,1921,2383,2779,3606,4417,5429,5667,5207,4376,3210,2650,1996,1873,1719,1422,1040,1194,1770,2874,4887,7144,11564,14514,15424,15473,12952,13016,11036,10719,9405,7657,8760,7533,7086,6039,5888,3424,7084,5619,5105,5307,10698,26865,32619,33688,43206,33706,20129,11453,6308,4456,2650,1976,1556,1827
PA,42,5269,5623,6514,6274,5193,5824,4701,4448,5913,5318,5868,5757,7255,8564,9992,11970,15603,20271,32659,43551,49216,60513,69557,67409,55591,52115,56854,48527,37631,39213,26154,25720,19199,18448,17542,17541,20664,25451,30415,30238,35220,27633,23410,18405,13127,9981,6881,4352,3175,2026,1404,1227,1360,2329,3667,6245,10198,13089,17491,21831,25073,27863,32936,32595,31944,36694,31928,28846,27310,28650,34041,40158,40991,51317,56291,53677,62164,93439,108636,113761,131830,89080,47995,29605,20360,12978,7308,6304,5123,4200,4184
RI,44,0,699,411,631,616,676,597,676,541,474,550,655,664,891,1162,1448,2263,2656,3423,5109,6199,5861,8226,7870,5897,4629,6199,7152,5524,4844,4096,2978,2515,2059,2251,2152,2487,2282,2063,2742,2786,2563,2080,1682,1220,0,1513,408,230,186,148,148,153,163,308,582,976,1437,1677,1910,1749,2071,2079,3859,1942,1871,1755,1818,1670,1383,1696,3050,3057,3094,5467,5969,8317,7467,18379,18379,18379,17487,10655,5652,3668,1953,1525,1656,1512,1441,1531
SC,45,11345,12917,12396,10610,8866,6477,5424,5972,7060,5770,7275,8037,5670,5741,6595,6146,7288,8138,9291,11013,9894,14324,19563,21740,18355,23826,37366,32338,31367,25996,23203,20159,18137,13795,9385,8093,7843,7731,7208,6508,6489,5968,5333,4446,4167,2537,2284,1170,961,820,782,1137,1686,2895,5034,10315,17163,22003,25346,32606,38113,31674,35153,22396,18770,13644,9969,7094,6082,5182,4625,4682,4082,6040,7357,7131,8373,30747,67638,73432,73677,84135,51817,24134,18577,9454,3790,2311,621,1379,1025
SD,46,431,413,448,565,628,648,1019,1811,1959,1560,2013,2696,2860,3857,4653,5501,7521,7924,10035,7938,6869,6211,5106,3932,2631,2871,3076,2385,1698,1145,1076,1079,972,1137,1090,1125,1238,1383,1301,1351,1353,937,683,580,422,272,255,108,93,70,112,110,61,127,197,266,375,1154,1554,2486,3070,2920,3185,2850,2678,2350,2179,2289,2177,2516,2349,3058,1921,3962,2994,2443,2024,3530,10088,11570,11502,8670,4857,2492,1423,853,535,343,257,114,156
TN,47,10764,15044,15043,15073,12361,11116,10540,9286,9617,7732,11094,8869,8155,12603,13386,17290,14172,18533,25899,27782,25807,31902,46472,62546,44844,42506,41880,32444,22914,17865,16555,12924,7754,9506,7910,8365,8380,7546,7987,7467,10755,7180,6506,5420,4522,3368,2437,1871,1464,1310,1228,1746,2717,4335,8151,14635,21510,29125,39282,39828,46731,62192,36430,25060,20571,15476,12018,9019,6881,6626,7915,9202,7026,12476,12122,13388,26352,54215,73791,92498,98716,90958,68049,33291,20649,11050,6428,3126,1977,1593,1592
TX,48,61293,59461,56448,53719,68245,75689,41653,35981,25089,25744,35603,32723,27631,22573,27551,37917,39503,42757,59388,79656,94918,97526,97531,123268,128705,158007,159816,157846,133381,120904,106986,76012,31208,56872,44530,32058,27795,26791,23012,24598,23844,23862,23988,17582,16085,12642,12339,9615,15276,9409,10563,10632,12671,20858,35765,62928,85718,99550,114623,113932,130221,122152,116366,79418,68912,53420,43587,30557,29220,21959,23347,23840,17029,31300,31548,35926,79032,139336,282960,323255,338667,274385,191060,107479,64275,36063,26136,31150,18269,36546,19454
UT,49,3418,3376,3360,2404,2395,2144,2074,2157,2323,2509,4851,5910,5707,6980,6960,7699,9034,12139,15975,16806,13635,14924,13585,12080,10674,12766,16079,13298,9220,7677,6139,5178,4029,3488,2636,2524,2377,2149,1971,1940,2010,1925,1998,1770,1531,1340,1038,1071,1311,1380,1627,1644,1955,2701,2616,4237,4296,4224,5123,5879,6444,7047,7133,6202,6139,6731,6030,6562,7430,7539,8039,8588,7008,7598,6684,5282,4555,10464,36202,36299,36517,34977,15784,9004,5224,2641,1712,987,768,716,510
VT,50,46,54,60,24,35,56,44,55,46,33,36,29,39,79,72,118,136,168,496,705,490,860,733,717,624,724,1101,1127,995,925,937,827,797,741,871,734,859,1065,1283,1060,904,610,553,408,400,238,118,57,70,42,33,27,41,92,127,213,432,720,883,910,1050,1050,1426,1429,1289,1365,1612,1509,1322,2000,2552,2400,1242,4030,3171,2768,2034,3674,6974,7211,6782,5750,1834,1389,1169,1170,1852,816,898,962,950
VA,51,4717,6614,7265,7225,8418,6595,6359,6781,6967,7231,6814,5789,5424,7120,7355,7201,8864,9715,9954,14906,17945,17570,27610,24393,26617,29208,34705,35727,39312,33668,23975,21357,14836,12706,10357,9342,10371,10284,9997,10604,10649,8649,7277,5672,3915,3007,2643,1663,1307,1163,1665,1530,1896,2263,3880,6202,10289,13181,16258,20575,23537,23665,25377,22994,19500,18849,14901,11845,10030,9070,9515,10659,10315,12870,17480,19345,35983,69029,80544,85440,87043,71848,46365,30805,20254,14250,10630,8050,6849,5606,5575
WA,53,4751,6273,5672,5526,4936,4376,3861,3386,3072,2750,2871,3884,3753,4231,4556,4948,5732,9393,13153,14502,19287,15730,24976,13775,14071,9941,25019,14525,14236,11404,8751,8013,5734,5958,4787,4862,5367,6254,7295,7901,9250,9643,9556,9325,8624,4939,8233,4295,4974,3064,3198,2091,2618,4943,7143,6850,15436,18794,21179,22483,24504,22242,23014,19720,20473,17103,17097,15536,14915,12264,12771,11632,6029,12685,9575,9923,13387,35322,73916,90073,96536,96507,71884,44193,4910,8354,12805,7679,7280,6024,5048
WV,54,951,761,889,979,851,901,734,806,1326,1259,1361,1278,1314,1446,1881,1916,2744,3149,5203,6811,6254,7730,8584,9067,8833,9163,9966,8567,6645,5603,3897,3114,2120,2238,1848,2007,2343,2841,2806,2657,2805,2594,2581,2521,2253,1541,1577,988,725,460,440,370,334,485,777,1321,2154,2843,5537,8761,10096,11561,13468,11916,10247,8399,7521,6300,5859,5273,5877,6099,2690,8926,6733,7341,5148,9127,20708,23731,25650,24357,19353,12898,7138,6641,3973,2641,1762,830,647
WI,55,4632,5813,6396,6139,5945,5139,4960,4799,5515,7315,13568,14086,17154,16765,18629,38931,32731,39634,46103,48397,32550,32920,28073,24698,15345,17634,24482,18193,13736,11016,9027,6643,5148,5113,4407,3790,3946,4703,4942,6320,6064,5160,5167,4656,3592,2886,1758,1195,966,660,607,630,759,1236,2267,5127,8050,9618,9745,12754,13883,12738,17900,21940,20377,20870,20177,12305,14945,17191,21574,24494,22578,29398,26406,30097,29255,37236,62747,74012,78571,57213,32005,18214,10850,6083,4139,3126,2684,2509,2956
WY,56,236,270,339,327,249,246,331,226,270,315,489,688,905,1093,1364,1990,2494,3208,5293,5559,4518,4025,2968,2583,1659,1460,2148,2241,1518,1147,933,527,611,669,419,405,425,468,407,432,394,441,449,485,459,591,484,485,494,380,474,496,523,558,728,876,1326,1822,2399,2796,3582,3437,3315,3908,3304,3134,2835,3038,2752,2393,2165,1836,950,1558,1052,740,658,1398,3496,5782,7250,7665,5294,2739,1505,835,523,329,165,156,114
